cast_id	cast_name
nm0002010	Christian Clavier
nm0002015	Phil Collins
nm0002023	Matt Craven
nm0002027	Ben Cross
nm0002048	Melvyn Douglas
nm0002057	Richard Edson
nm0002064	Giancarlo Esposito
nm0002071	Will Ferrell
nm0002073	Lou Ferrigno
nm0002076	Jason Flemyng
nm0002077	Dexter Fletcher
nm0002081	Edward Fox
nm0002090	Zach Galligan
nm0002091	Michael Gambon
nm0002103	Julian Glover
nm0002122	Harry Hamlin
nm0002129	Gregory Harrison
nm0002139	Judd Hirsch
nm0002181	Imanol Arias
nm0002230	Carlos Gallardo
nm0002235	Mike Hagerty
nm0002243	Sam Douglas
nm0002245	Tzi Ma
nm0002246	Harry Van Gorkum
nm0002253	John Carroll Lynch
nm0002311	Montagu Love
nm0002326	Al Sapienza
nm0002332	Stephen Lang
nm0002350	Jim Meskimen
nm0002364	Dante Basco
nm0002365	Dion Basco
nm0002396	Scott Shaw
nm0002438	Burnie Burns
nm0002518	Ryan Koch
nm0002592	David Fickas
nm0002604	Robert Blanche
nm0002756	Cal Johnson
nm0002776	Johnny Hallyday
nm0002800	Scott Levy
nm0002857	Michael Kearns
nm0002864	Michael Markowitz
nm0002888	Stephen Blackehart
nm0002907	Alexander Skarsgård
nm0002942	Verton R. Banks
nm0002944	Michael Boisvert
nm0003003	Ron Gilbert
nm0003067	Sebastian Roché
nm0003078	Roger Cross
nm0003082	Bailey Chase
nm0003133	Jean-Christophe Bouvet
nm0003210	C. Ernst Harth
nm0003211	Joe Hackett
nm0003214	Matthew Wood
nm0003244	Jordi Mollà
nm0003249	Kristofor Brown
nm0003320	Michael Albala
nm0003383	John Serpe
nm0003492	Heinrich Schafmeister
nm0003596	Barry Papick
nm0003626	Charlie Condou
nm0003688	Otakar Brousek
nm0003784	Joe Grisaffi
nm0003818	Nick Brimble
nm0003848	Charles-André Bertrand
nm0003859	Owen Brenman
nm0003860	David Caprita
nm0003861	David Jensen
nm0003900	José Luis Alcaine
nm0003909	Michael Lonsdale
nm0003928	Bob Clendenin
nm0003929	Neill Gorton
nm0003944	Ian James Corlett
nm0003952	Adam Howard
nm0003979	Daniel Schweiger
nm0003996	Butch McCain
nm0004005	Marklen Kennedy
nm0004028	Daniel Bacon
